Borough,Contributing Factor 1,Contributing Factor 2,Cross Street Name,Hour of the Day,Date,Latitude,Location,Longitude,# Persons Injured,# Persons Killed,# Records,Street Name,Time,Vehicle Type 1,Vehicle Type 2,Zip Code
Unspecified,Backing Unsafely,Unspecified,,14,3/7/2017,40.752777,"(40.752777, -73.86627)",-73.86627,0,0,1,101 STREET,12/30/1899 2:25:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
BRONX,Driver Inattention/Distraction,Unspecified,EAST FORDHAM ROAD,14,3/7/2017,,,,0,0,1,CAMBRELENG AVENUE,12/30/1899 2:30:00 PM,PASSENGER VEHICLE,,10458
MANHATTAN,Unspecified,Unspecified,WEST 108 STREET,14,9/8/2016,,,,0,0,1,BROADWAY,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,,10025
MANHATTAN,Unspecified,Unspecified,COLUMBUS AVENUE,14,9/8/2016,,,,0,0,1,WEST 93 STREET,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,OTHER,10025
MANHATTAN,Unspecified,Unspecified,11 AVENUE,14,9/8/2016,,,,0,0,1,WEST 42 STREET,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10036
MANHATTAN,Unspecified,Unspecified,EAST 64 STREET,14,9/8/2016,,,,0,0,1,YORK AVENUE,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10065
QUEENS,Unspecified,Unspecified,,14,9/8/2016,,,,0,0,1,,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11354
QUEENS,Unspecified,Unspecified,183 STREET,14,9/8/2016,,,,0,0,1,149 ROAD,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,,11413
STATEN ISLAND,Unspecified,Unspecified,EBBITTS STREET,14,9/8/2016,,,,0,0,1,MILL ROAD,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10306
Unspecified,Unspecified,Unspecified,,14,9/8/2016,,,,0,0,1,JOHN STREET,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Backing Unsafely,Unspecified,,14,9/8/2016,,,,0,0,1,PENNSYLVANIA AVENUE,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,14,9/8/2016,,,,0,0,1,RICHMOND AVENUE,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,14,9/8/2016,,,,0,0,1,ROCKAWAY BOULEVARD,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,14,9/8/2016,40.7320364,"(40.7320364, -73.9189192)",-73.9189192,0,0,1,,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,14,9/8/2016,40.8792649,"(40.8792649, -73.8696134)",-73.8696134,0,0,1,,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
MANHATTAN,Unspecified,Unspecified,,15,9/8/2016,,,,0,0,1,,12/30/1899 3:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10035
MANHATTAN,Unspecified,Unspecified,EAST 93 STREET,15,9/8/2016,,,,0,0,1,3 AVENUE,12/30/1899 3:09:00 PM,PASSENGER VEHICLE,,10128
QUEENS,Unspecified,Unspecified,CORONA AVENUE,15,9/8/2016,,,,0,0,1,POYER STREET,12/30/1899 3:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11373
Unspecified,Following Too Closely,Unspecified,,14,3/7/2017,40.736046,"(40.736046, -73.92673)",-73.92673,0,0,1,,12/30/1899 2:35:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,11 AVENUE,14,3/7/2017,40.769005,"(40.769005, -73.992355)",-73.992355,0,0,1,WEST 55 STREET,12/30/1899 2:42:00 PM,TAXI,,10019
QUEENS,Backing Unsafely,Unspecified,,14,3/7/2017,40.754005,"(40.754005, -73.762726)",-73.762726,0,0,1,,12/30/1899 2:45:00 PM,PASSENGER VEHICLE,PICK-UP TRUCK,11364
STATEN ISLAND,Turning Improperly,Unspecified,,14,3/7/2017,40.541016,"(40.541016, -74.19974)",-74.19974,0,0,1,,12/30/1899 2:45:00 PM,PICK-UP TRUCK,PICK-UP TRUCK,10312
