Borough,Contributing Factor 1,Contributing Factor 2,Cross Street Name,Hour of the Day,Date,Latitude,Location,Longitude,# Persons Injured,# Persons Killed,# Records,Street Name,Time,Vehicle Type 1,Vehicle Type 2,Zip Code
Unspecified,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,16,3/7/2017,40.729332,"(40.729332, -74.00523)",-74.00523,0,0,1,VARICK STREET,12/30/1899 4:00:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
Unspecified,Unsafe Lane Changing,Unspecified,,16,3/7/2017,40.69986,"(40.69986, -73.98458)",-73.98458,0,0,1,,12/30/1899 4:00:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
MANHATTAN,Driver Inexperience,Unspecified,CANAL STREET,16,3/7/2017,40.719395,"(40.719395, -74.00189)",-74.00189,1,0,1,BROADWAY,12/30/1899 4:00:00 PM,BICYCLE,,10013
QUEENS,Failure to Yield Right-of-Way,Unspecified,161 STREET,16,3/7/2017,40.753838,"(40.753838, -73.805824)",-73.805824,1,0,1,46 AVENUE,12/30/1899 4:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11358
BROOKLYN,Unsafe Lane Changing,Unspecified,,16,3/7/2017,40.699135,"(40.699135, -73.93908)",-73.93908,0,0,1,,12/30/1899 4:05:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11206
Unspecified,Other Vehicular,Other Vehicular,,16,3/7/2017,40.760937,"(40.760937, -73.971245)",-73.971245,0,0,1,PARK AVENUE,12/30/1899 4:05:00 PM,TAXI,TAXI,
Unspecified,Driver Inexperience,Unspecified,,16,3/7/2017,40.75834,"(40.75834, -73.95775)",-73.95775,0,0,1,,12/30/1899 4:05:00 PM,PASSENGER VEHICLE,,
MANHATTAN,Unspecified,Unspecified,BROADWAY,22,9/8/2016,,,,0,0,1,WEST 79 STREET,12/30/1899 10:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10024
MANHATTAN,Unspecified,Unspecified,EAST 64 STREET,22,9/8/2016,40.7660388,"(40.7660388, -73.967517)",-73.967517,0,0,1,PARK AVENUE,12/30/1899 10:09:00 PM,TAXI,PASSENGER VEHICLE,10065
Unspecified,Driver Inattention/Distraction,Driver Inattention/Distraction,,22,9/8/2016,,,,0,0,1,AVENUE B,12/30/1899 10:09:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
Unspecified,Unspecified,,,22,9/8/2016,,,,0,0,1,EAST 32 STREET,12/30/1899 10:09:00 PM,SPORT UTILITY / STATION WAGON,,
Unspecified,Unspecified,Unspecified,,22,9/8/2016,,,,0,0,1,,12/30/1899 10:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BROOKLYN,Unspecified,Unspecified,61 STREET,22,9/8/2016,,,,1,0,1,2 AVENUE,12/30/1899 10:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11220
BROOKLYN,Passing or Lane Usage Improper,Unspecified,,23,9/8/2016,,,,0,0,1,,12/30/1899 11:09:00 PM,SPORT UTILITY / STATION WAGON,,11214
BROOKLYN,Backing Unsafely,Unspecified,CROPSEY AVENUE,23,9/8/2016,,,,0,0,1,16 AVENUE,12/30/1899 11:09:00 PM,PASSENGER VEHICLE,PICK-UP TRUCK,11228
Unspecified,Unsafe Lane Changing,Unspecified,,16,3/7/2017,40.774227,"(40.774227, -73.98112)",-73.98112,0,0,1,,12/30/1899 4:15:00 PM,TAXI,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,16,3/7/2017,40.764435,"(40.764435, -73.72269)",-73.72269,0,0,1,,12/30/1899 4:15:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
QUEENS,Backing Unsafely,Unspecified,,16,3/7/2017,40.755222,"(40.755222, -73.82821)",-73.82821,0,0,1,,12/30/1899 4:20:00 PM,SPORT UTILITY / STATION WAGON,,11355
Unspecified,Passing or Lane Usage Improper,Unspecified,,16,3/7/2017,40.77364,"(40.77364, -73.95986)",-73.95986,0,0,1,LEXINGTON AVENUE,12/30/1899 4:20:00 PM,TAXI,SPORT UTILITY / STATION WAGON,
BROOKLYN,Following Too Closely,Unspecified,ROGERS AVENUE,16,3/7/2017,40.638428,"(40.638428, -73.951164)",-73.951164,1,0,1,FOSTER AVENUE,12/30/1899 4:20:00 PM,TAXI,PASSENGER VEHICLE,11210
Unspecified,Unspecified,,,16,3/7/2017,40.65993,"(40.65993, -73.891655)",-73.891655,0,0,1,PENNSYLVANIA AVENUE,12/30/1899 4:25:00 PM,PASSENGER VEHICLE,,
Unspecified,Traffic Control Disregarded,Unspecified,,16,3/7/2017,40.691536,"(40.691536, -73.99912)",-73.99912,0,0,1,,12/30/1899 4:27:00 PM,SPORT UTILITY / STATION WAGON,,
BROOKLYN,Driver Inattention/Distraction,Turning Improperly,HART STREET,16,3/7/2017,40.693172,"(40.693172, -73.94878)",-73.94878,1,0,1,MARCY AVENUE,12/30/1899 4:28:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11206
MANHATTAN,Driver Inexperience,Unspecified,BOWERY,23,9/8/2016,40.7203211,"(40.7203211, -73.9940403)",-73.9940403,0,0,1,DELANCEY STREET,12/30/1899 11:09:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,10012
QUEENS,Driver Inattention/Distraction,Unspecified,31 AVENUE,23,9/8/2016,,,,0,0,1,69 STREET,12/30/1899 11:09:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11377
Unspecified,Unspecified,Unspecified,146 STREET,23,9/8/2016,,,,0,0,1,21 AVENUE,12/30/1899 11:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,23,9/8/2016,40.760507,"(40.760507, -73.9569807)",-73.9569807,0,0,1,,12/30/1899 11:09:00 PM,PASSENGER VEHICLE,AMBULANCE,
MANHATTAN,Unspecified,Unspecified,,2,9/8/2016,,,,0,0,1,,12/30/1899 2:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,10013
Unspecified,Turning Improperly,Unspecified,,6,9/8/2016,,,,0,0,1,CRESCENT STREET,12/30/1899 6:09:00 AM,PASSENGER VEHICLE,TAXI,
Unspecified,Unspecified,Unspecified,,6,9/8/2016,,,,1,0,1,PARSONS BOULEVARD,12/30/1899 6:09:00 AM,PASSENGER VEHICLE,BICYCLE,
MANHATTAN,Unspecified,Unspecified,WEST 15 STREET,7,9/8/2016,,,,0,0,1,7 AVENUE,12/30/1899 7:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,10011
MANHATTAN,Unspecified,Unspecified,EAST 61 STREET,7,9/8/2016,,,,0,0,1,YORK AVENUE,12/30/1899 7:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,10065
QUEENS,Unspecified,Unspecified,,7,9/8/2016,,,,0,0,1,,12/30/1899 7:09:00 AM,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),11368
QUEENS,Unspecified,Unspecified,,7,9/8/2016,,,,0,0,1,,12/30/1899 7:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,11422
BROOKLYN,Following Too Closely,Unspecified,,16,3/7/2017,40.721043,"(40.721043, -73.956436)",-73.956436,0,0,1,,12/30/1899 4:40:00 PM,TAXI,SPORT UTILITY / STATION WAGON,11249
MANHATTAN,Unspecified,,WEST 138 STREET,16,3/7/2017,40.822018,"(40.822018, -73.95368)",-73.95368,0,0,1,BROADWAY,12/30/1899 4:40:00 PM,PASSENGER VEHICLE,,10031
STATEN ISLAND,Failure to Yield Right-of-Way,Unspecified,GREENCROFT AVENUE,16,3/7/2017,40.548397,"(40.548397, -74.14017)",-74.14017,0,0,1,FIELDWAY AVENUE,12/30/1899 4:40:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,10308
Unspecified,Driver Inexperience,Unspecified,,16,3/7/2017,40.778805,"(40.778805, -73.947975)",-73.947975,0,0,1,1 AVENUE,12/30/1899 4:42:00 PM,SPORT UTILITY / STATION WAGON,,
BROOKLYN,Unspecified,Unspecified,CLINTON STREET,16,3/7/2017,40.69024,"(40.69024, -73.99437)",-73.99437,0,0,1,ATLANTIC AVENUE,12/30/1899 4:44:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11201
MANHATTAN,Unspecified,Unspecified,,16,3/7/2017,40.807995,"(40.807995, -73.93815)",-73.93815,0,0,1,,12/30/1899 4:50:00 PM,PASSENGER VEHICLE,PICK-UP TRUCK,10035
Unspecified,Unsafe Speed,Unspecified,,16,3/7/2017,40.80605,"(40.80605, -73.92269)",-73.92269,1,0,1,,12/30/1899 4:50:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
Unspecified,Aggressive Driving/Road Rage,Unspecified,,7,9/8/2016,,,,0,0,1,RICHMOND ROAD,12/30/1899 7:09:00 AM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
Unspecified,Unspecified,,,7,9/8/2016,40.6896885,"(40.6896885, -73.8902833)",-73.8902833,1,0,1,,12/30/1899 7:09:00 AM,PASSENGER VEHICLE,,
Unspecified,Driver Inattention/Distraction,Unspecified,,7,9/8/2016,,,,2,0,1,BEVERLEY ROAD,12/30/1899 7:09:00 AM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,20 AVENUE,7,9/8/2016,,,,2,0,1,WHITESTONE EXPRESSWAY,12/30/1899 7:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BRONX,Unspecified,Unspecified,,8,9/8/2016,,,,0,0,1,,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,10452
BRONX,Unspecified,Unspecified,,8,9/8/2016,,,,0,0,1,,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,,10466
BROOKLYN,Unsafe Lane Changing,Unspecified,ATKINS AVENUE,8,9/8/2016,40.6792411,"(40.6792411, -73.8801516)",-73.8801516,0,0,1,ATLANTIC AVENUE,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11208
BROOKLYN,Passing or Lane Usage Improper,,,8,9/8/2016,,,,0,0,1,,12/30/1899 8:09:00 AM,TAXI,SPORT UTILITY / STATION WAGON,11221
BROOKLYN,Unspecified,Unspecified,,8,9/8/2016,,,,0,0,1,,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,11230
BROOKLYN,Unspecified,Unspecified,HERKIMER STREET,8,9/8/2016,40.6776736,"(40.6776736, -73.9135859)",-73.9135859,0,0,1,BOYLAND STREET,12/30/1899 8:09:00 AM,SPORT UTILITY / STATION WAGON,,11233
MANHATTAN,Unspecified,Unspecified,9 AVENUE,8,9/8/2016,,,,0,0,1,WEST 30 STREET,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,10001
MANHATTAN,Driver Inattention/Distraction,Unspecified,EAST 9 STREET,8,9/8/2016,40.7305643,"(40.7305643, -73.9905071)",-73.9905071,0,0,1,4 AVENUE,12/30/1899 8:09:00 AM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,10003
Unspecified,Unspecified,Unspecified,,17,3/7/2017,40.76036,"(40.76036, -73.85688)",-73.85688,0,0,1,,12/30/1899 5:00:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
BROOKLYN,,,8 STREET,17,3/7/2017,40.67095,"(40.67095, -73.98823)",-73.98823,1,0,1,4 AVENUE,12/30/1899 5:00:00 PM,PASSENGER VEHICLE,,11215
Unspecified,Passing or Lane Usage Improper,Unspecified,,17,3/7/2017,40.771385,"(40.771385, -73.95648)",-73.95648,0,0,1,2 AVENUE,12/30/1899 5:06:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
BROOKLYN,Failure to Yield Right-of-Way,,PENNSYLVANIA AVENUE,17,3/7/2017,40.670624,"(40.670624, -73.895546)",-73.895546,1,0,1,BELMONT AVENUE,12/30/1899 5:10:00 PM,,,11207
Unspecified,Driver Inattention/Distraction,Unspecified,,17,3/7/2017,40.84019,"(40.84019, -73.94307)",-73.94307,1,0,1,WEST 165 STREET,12/30/1899 5:10:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
Unspecified,Driver Inattention/Distraction,Unspecified,LAKE AVENUE,17,3/7/2017,40.6255,"(40.6255, -74.152145)",-74.152145,0,0,1,FOREST AVENUE,12/30/1899 5:15:00 PM,PASSENGER VEHICLE,,
BROOKLYN,Driver Inattention/Distraction,,,17,3/7/2017,40.69803,"(40.69803, -73.9371)",-73.9371,1,0,1,,12/30/1899 5:15:00 PM,SPORT UTILITY / STATION WAGON,,11206
Unspecified,Turning Improperly,Unspecified,,17,3/7/2017,40.710667,"(40.710667, -73.93361)",-73.93361,1,0,1,MORGAN AVENUE,12/30/1899 5:21:00 PM,PASSENGER VEHICLE,MOTORCYCLE,
Unspecified,Unspecified,Unspecified,AVENUE D,17,3/7/2017,40.646328,"(40.646328, -73.91276)",-73.91276,0,0,1,REMSEN AVENUE,12/30/1899 5:23:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BROOKLYN,Oversized Vehicle,,,17,3/7/2017,40.7001,"(40.7001, -73.94739)",-73.94739,0,0,1,,12/30/1899 5:30:00 PM,,,11206
BROOKLYN,Unspecified,Unspecified,HALLECK STREET,17,3/7/2017,40.670647,"(40.670647, -74.00384)",-74.00384,0,0,1,CLINTON STREET,12/30/1899 5:30:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11231
MANHATTAN,Driver Inattention/Distraction,Unspecified,,17,3/7/2017,40.743378,"(40.743378, -73.99392)",-73.99392,0,0,1,,12/30/1899 5:30:00 PM,TAXI,PICK-UP TRUCK,10011
Unspecified,Following Too Closely,Reaction to Other Uninvolved Vehicle,,11,2/8/2017,40.88809,"(40.88809, -73.89254)",-73.89254,0,0,1,,12/30/1899 11:15:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
QUEENS,Unspecified,Unspecified,SKILLMAN AVENUE,8,9/8/2016,,,,0,0,1,29 STREET,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,11101
QUEENS,Unspecified,Unspecified,,8,9/8/2016,,,,0,0,1,,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,MOTORCYCLE,11357
QUEENS,Unspecified,Unspecified,,8,9/8/2016,,,,0,0,1,,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,11369
QUEENS,Unspecified,Unspecified,109 AVENUE,8,9/8/2016,,,,0,0,1,203 STREET,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,,11412
Unspecified,Unspecified,Unspecified,,8,9/8/2016,40.7541077,"(40.7541077, -73.7232034)",-73.7232034,0,0,1,,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BRONX,Unspecified,Unspecified,,8,9/8/2016,,,,1,0,1,,12/30/1899 8:09:00 AM,PASSENGER VEHICLE,,10469
Unspecified,Unspecified,Unspecified,,9,9/8/2016,,,,0,0,1,HARRISON STREET,12/30/1899 9:09:00 AM,OTHER,PASSENGER VEHICLE,
Unspecified,Following Too Closely,Unspecified,CLARKSON AVENUE,9,9/8/2016,,,,0,0,1,REMSEN AVENUE,12/30/1899 9:09:00 AM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
Unspecified,Unspecified,Unspecified,,9,9/8/2016,40.678236,"(40.678236, -73.8975198)",-73.8975198,0,0,1,,12/30/1899 9:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,9,9/8/2016,40.704713,"(40.704713, -73.7274189)",-73.7274189,0,0,1,,12/30/1899 9:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,9,9/8/2016,40.7079682,"(40.7079682, -73.9997427)",-73.9997427,0,0,1,,12/30/1899 9:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,9,9/8/2016,40.759618,"(40.759618, -73.7777827)",-73.7777827,0,0,1,,12/30/1899 9:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,9,9/8/2016,,,,1,0,1,WEST STREET,12/30/1899 9:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BRONX,Unspecified,Unspecified,,0,9/7/2016,,,,0,0,1,,12/30/1899 12:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,10469
QUEENS,Unspecified,Unspecified,38 AVENUE,0,9/7/2016,,,,0,0,1,149 PLACE,12/30/1899 12:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,11354
QUEENS,Alcohol Involvement,,,17,3/7/2017,40.697388,"(40.697388, -73.85402)",-73.85402,0,0,1,,12/30/1899 5:31:00 PM,PASSENGER VEHICLE,,11421
BROOKLYN,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,17,3/7/2017,40.672356,"(40.672356, -73.88039)",-73.88039,1,0,1,,12/30/1899 5:40:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11208
BROOKLYN,Failure to Yield Right-of-Way,Unspecified,,17,3/7/2017,40.672356,"(40.672356, -73.88039)",-73.88039,1,0,1,,12/30/1899 5:40:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,11208
Unspecified,Following Too Closely,Unspecified,,17,3/7/2017,40.757465,"(40.757465, -73.95563)",-73.95563,0,0,1,,12/30/1899 5:45:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
BROOKLYN,Unspecified,Unspecified,PROSPECT AVENUE,17,3/7/2017,40.66551,"(40.66551, -73.992775)",-73.992775,0,0,1,4 AVENUE,12/30/1899 5:46:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11215
BRONX,Backing Unsafely,Unspecified,,11,2/8/2017,40.885574,"(40.885574, -73.82888)",-73.82888,0,0,1,,12/30/1899 11:20:00 AM,SPORT UTILITY / STATION WAGON,,10466
MANHATTAN,Other Vehicular,,,11,2/8/2017,40.738003,"(40.738003, -73.98324)",-73.98324,0,0,1,,12/30/1899 11:30:00 AM,SPORT UTILITY / STATION WAGON,,10010
Unspecified,Unspecified,Unspecified,,0,9/7/2016,,,,0,0,1,EAST TREMONT AVENUE,12/30/1899 12:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
MANHATTAN,Driver Inattention/Distraction,Unspecified,EAST 127 STREET,10,9/7/2016,40.8056708,"(40.8056708, -73.9364726)",-73.9364726,1,0,1,LEX AVE,12/30/1899 10:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,10035
BRONX,Unspecified,Unspecified,,11,9/7/2016,,,,0,0,1,,12/30/1899 11:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,10457
BROOKLYN,Unspecified,Unspecified,COURT STREET,11,9/7/2016,,,,0,0,1,ATLANTIC AVENUE,12/30/1899 11:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,11201
Unspecified,Physical Disability,Unspecified,QUEENS BOULEVARD,13,8/24/2015,,,,0,0,1,YELLOWSTONE BOULEVARD,12/30/1899 1:54:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
MANHATTAN,Unspecified,Unspecified,,11,9/7/2016,,,,0,0,1,,12/30/1899 11:09:00 AM,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,10027
QUEENS,Unspecified,Unspecified,,11,9/7/2016,,,,0,0,1,,12/30/1899 11:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,11372
BRONX,Lost Consciousness,Unspecified,BOSTON ROAD,23,1/2/2016,40.84013,"(40.84013, -73.8802991)",-73.8802991,4,0,1,EAST TREMONT AVENUE,12/30/1899 11:15:00 PM,BUS,PASSENGER VEHICLE,10460
Unspecified,Unspecified,Unspecified,GRANT AVENUE,23,1/2/2016,,,,0,0,1,CONDUIT BOULEVARD,12/30/1899 11:18:00 PM,PASSENGER VEHICLE,UNKNOWN,
MANHATTAN,Turning Improperly,Unspecified,8 AVENUE,23,1/2/2016,40.760405,"(40.760405, -73.9874743)",-73.9874743,0,0,1,WEST 47 STREET,12/30/1899 11:27:00 PM,OTHER,PASSENGER VEHICLE,10036
QUEENS,Other Vehicular,Other Vehicular,38 STREET,23,1/2/2016,40.7570524,"(40.7570524, -73.9216585)",-73.9216585,0,0,1,34 AVENUE,12/30/1899 11:28:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,11101
BROOKLYN,Unspecified,,,17,3/7/2017,40.66756,"(40.66756, -73.860405)",-73.860405,0,0,1,,12/30/1899 5:50:00 PM,SPORT UTILITY / STATION WAGON,,11208
BROOKLYN,Backing Unsafely,Unspecified,,17,3/7/2017,40.641468,"(40.641468, -73.89423)",-73.89423,0,0,1,,12/30/1899 5:50:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11236
QUEENS,Unspecified,,224 STREET,17,3/7/2017,40.669796,"(40.669796, -73.75078)",-73.75078,0,0,1,CARSON STREET,12/30/1899 5:50:00 PM,SPORT UTILITY / STATION WAGON,,11413
Unspecified,Reaction to Other Uninvolved Vehicle,Unspecified,MAJOR DEEGAN,17,3/7/2017,,,,0,0,1,VAN COURTLANDT PARK SOUTH,12/30/1899 5:50:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
BRONX,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,TOPPING AVENUE,17,3/7/2017,40.846687,"(40.846687, -73.905594)",-73.905594,1,0,1,EAST 175 STREET,12/30/1899 5:53:00 PM,PASSENGER VEHICLE,BICYCLE,10457
BROOKLYN,Turning Improperly,Unspecified,,18,3/7/2017,40.61324,"(40.61324, -74.03332)",-74.03332,0,0,1,,12/30/1899 6:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11209
BROOKLYN,Unspecified,,,18,3/7/2017,40.718143,"(40.718143, -73.94405)",-73.94405,0,0,1,,12/30/1899 6:00:00 PM,PASSENGER VEHICLE,,11211
QUEENS,Unspecified,Unspecified,211 STREET,11,9/7/2016,,,,0,0,1,HOLLIS AVENUE,12/30/1899 11:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,11429
Unspecified,Unspecified,Unspecified,,11,9/7/2016,,,,0,0,1,,12/30/1899 11:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,11,9/7/2016,40.7014547,"(40.7014547, -73.9896203)",-73.9896203,0,0,1,,12/30/1899 11:09:00 AM,PASSENGER VEHICLE,,
Unspecified,Unspecified,,31 STREET,11,9/7/2016,40.77039,"(40.77039, -73.91771)",-73.91771,0,0,1,HOYT AVENUE SOUTH,12/30/1899 11:45:00 AM,SPORT UTILITY / STATION WAGON,,
BROOKLYN,Unspecified,Unspecified,SEAVIEW AVENUE,12,9/7/2016,,,,0,0,1,ROCKAWAY PARKWAY,12/30/1899 12:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11236
QUEENS,Unspecified,Unspecified,,12,9/7/2016,,,,0,0,1,,12/30/1899 12:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11385
QUEENS,Unspecified,Unspecified,,12,9/7/2016,,,,0,0,1,,12/30/1899 12:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11414
Unspecified,Unspecified,Unspecified,,12,9/7/2016,,,,0,0,1,53 STREET,12/30/1899 12:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,12,9/7/2016,,,,0,0,1,CEDAR AVENUE,12/30/1899 12:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,AVENUE K,12,9/7/2016,,,,0,0,1,FLATBUSH AVENUE,12/30/1899 12:09:00 PM,PASSENGER VEHICLE,,
Unspecified,Unspecified,Unspecified,WEST 174 STREET,12,9/7/2016,,,,0,0,1,GRAND AVENUE,12/30/1899 12:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,,,12,9/7/2016,40.6929384,"(40.6929384, -73.8777598)",-73.8777598,0,0,1,,12/30/1899 12:09:00 PM,PASSENGER VEHICLE,,
Unspecified,Brakes Defective,Unspecified,,12,9/7/2016,,,,0,0,1,,12/30/1899 12:09:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
Unspecified,Following Too Closely,Unspecified,ROCKAWAY BOULEVARD,18,3/7/2017,40.675285,"(40.675285, -73.81177)",-73.81177,0,0,1,126 STREET,12/30/1899 6:01:00 PM,PASSENGER VEHICLE,,
Unspecified,Driver Inattention/Distraction,Driver Inattention/Distraction,,18,3/7/2017,40.853813,"(40.853813, -73.90734)",-73.90734,0,0,1,EAST BURNSIDE AVENUE,12/30/1899 6:02:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
BROOKLYN,Unspecified,Unspecified,,18,3/7/2017,40.61066,"(40.61066, -73.967926)",-73.967926,0,0,1,,12/30/1899 6:06:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11230
MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,2 AVENUE,18,3/7/2017,40.756763,"(40.756763, -73.96716)",-73.96716,0,0,1,EAST 53 STREET,12/30/1899 6:10:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10022
BROOKLYN,Following Too Closely,Unspecified,,18,3/7/2017,40.679035,"(40.679035, -73.9248)",-73.9248,1,0,1,,12/30/1899 6:10:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11233
STATEN ISLAND,Failure to Yield Right-of-Way,Unspecified,LINCOLN AVENUE,18,3/7/2017,40.57961,"(40.57961, -74.109116)",-74.109116,0,0,1,NORTH RAILROAD AVENUE,12/30/1899 6:15:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,10306
BRONX,Unspecified,Unspecified,CRESTON AVENUE,18,3/7/2017,40.8504,"(40.8504, -73.90697)",-73.90697,0,0,1,EAST TREMONT AVENUE,12/30/1899 6:20:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,10453
BRONX,Traffic Control Disregarded,Unspecified,ZEREGA AVENUE,13,2/8/2017,40.825554,"(40.825554, -73.843254)",-73.843254,0,0,1,HERMANY AVENUE,12/30/1899 1:00:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,10473
Unspecified,Pavement Defective,,,12,9/7/2016,,,,1,0,1,,12/30/1899 12:09:00 PM,BICYCLE,,
BRONX,Unspecified,Unspecified,,13,9/7/2016,,,,0,0,1,,12/30/1899 1:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10460
BROOKLYN,Unspecified,Unspecified,GRAND AVENUE,13,9/7/2016,,,,0,0,1,MYRTLE AVENUE,12/30/1899 1:09:00 PM,PASSENGER VEHICLE,,11205
QUEENS,Unspecified,Unspecified,60 AVENUE,13,9/7/2016,,,,0,0,1,WOODHAVEN BOULEVARD,12/30/1899 1:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11373
Unspecified,Unspecified,Unspecified,,13,9/7/2016,,,,0,0,1,CENTRAL PARK WEST,12/30/1899 1:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
